ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volatility,next2_pct,next_pct,period_guess
000062.SZ,20250506,25.8,28.18,25.48,28.18,25.62,2.56,9.9922,645141.51,1731125.034,9.581263307310147,9.9887,10.004,尾盘
000062.SZ,20250627,24.98,27.49,24.9,27.49,24.99,2.5,10.004,619440.15,1651528.372,9.421607857402691,9.9916,9.9887,尾盘
000062.SZ,20250818,29.18,29.18,28.35,29.18,26.53,2.65,9.9887,379914.04,1105674.242,2.844413982179569,10.0122,9.9916,尾盘
000062.SZ,20260311,23.82,26.2,23.74,26.2,23.82,2.38,9.9916,362430.97,918761.88,9.389312977099241,10.0101,10.0122,尾盘
000062.SZ,20260407,24.88,27.03,24.8,27.03,24.57,2.46,10.0122,540392.93,1436498.321,8.25009248982612,9.9936,10.0101,尾盘
000062.SZ,20260422,30.4,32.64,29.87,32.64,29.67,2.97,10.0101,726928.79,2268375.61,8.486519607843137,9.9884,9.9936,尾盘
000062.SZ,20260424,30.81,34.34,30.45,34.34,31.22,3.12,9.9936,1121345.78,3731477.591,11.327897495631927,,9.9884,尾盘
000065.SZ,20250624,10.24,10.75,10.14,10.75,9.77,0.98,10.0307,500359.67,522904.633,5.674418604651158,9.9768,10.0375,尾盘
000065.SZ,20250627,11.0,11.73,10.97,11.73,10.66,1.07,10.0375,1482045.86,1696100.567,6.479113384484227,,9.9768,尾盘
000066.SZ,20250813,15.79,17.5,15.66,17.5,15.91,1.59,9.9937,5501511.62,9276919.816,10.514285714285714,10.0,9.9934,尾盘
000066.SZ,20260112,15.35,16.62,15.35,16.62,15.11,1.51,9.9934,1250240.37,2055695.662,7.641395908543931,10.0064,10.0,尾盘
000066.SZ,20260121,16.32,17.82,16.32,17.82,16.2,1.62,10.0,1425909.45,2501010.157,8.417508417508419,9.9889,10.0064,尾盘
000066.SZ,20260309,15.55,17.26,15.31,17.26,15.69,1.57,10.0064,2247120.96,3710296.236,11.297798377752033,,9.9889,尾盘
000069.SZ,20251110,2.48,2.66,2.48,2.66,2.42,0.24,9.9174,2578383.68,675506.08,6.766917293233088,,10.1504,尾盘
000070.SZ,20250807,7.79,8.56,7.79,8.56,7.78,0.78,10.0257,1302167.8,1101141.06,8.995327102803744,10.022,9.9635,尾盘
000070.SZ,20250811,8.55,9.05,8.36,9.05,8.23,0.82,9.9635,874652.53,765354.253,7.624309392265206,10.01,10.022,尾盘
000070.SZ,20250813,9.28,9.99,9.14,9.99,9.08,0.91,10.022,1503440.09,1447783.731,8.508508508508504,10.0524,10.01,尾盘
000070.SZ,20250814,10.0,10.99,9.88,10.99,9.99,1.0,10.01,1640162.56,1697728.39,10.100090991810731,9.9905,10.0524,尾盘
000070.SZ,20250825,9.91,10.51,9.91,10.51,9.55,0.96,10.0524,766024.03,788958.059,5.708848715509036,9.9638,9.9905,尾盘
000070.SZ,20250826,10.91,11.56,10.4,11.56,10.51,1.05,9.9905,1996417.73,2213194.246,10.03460207612457,10.0191,9.9638,尾盘
